Model,Identifier,Cruise Speed (km/h),Range (km),Cruise Altitude (m),Cargo Capacity (kg),Total Seats
Boeing 777-300ER,77W,896,14594,10668,23024,450
Boeing 777-200LR,77L,896,17446,10668,15300,300
Airbus A330-300,333,869,10560,11277,13900,292
Boeing 787-9,789,913,15370,11887,15100,298
Boeing 787-8,788,913,14500,11887,14100,255
Boeing 767-300ER,763,853,10549,11277,11600,211
Airbus A321-200,321,837,4350,10668,3600,190
Airbus A320-200,320,837,4442,10668,2000,146
Airbus A319-100,319,837,4442,10668,2000,120
Embraer 190,E90,811,3540,10668,1502,97
Embraer 175,E75,811,2413,10668,600,76
Bombardier CRJ900,CR9,881,2778,11887,2134,76
Bombardier Q400,DH4,667,1878,7620,2136,78
Bombardier CRJ100/200,CRJ,860,1825,10668,1591,50
Bombardier Dash 8-300,DH3,531,1389,7620,1134,50
Bombardier Dash 8-100,DH1,491,1295,7620,907,37
